_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
100,2701605,Canapi,2000,População residente censitária,Total,Total,17334
101,2701605,Canapi,2010,População residente censitária,Total,Total,17250
102,2701605,Canapi,2022,População residente censitária,Total,Total,15559
103,2701704,Capela,1970,População residente censitária,Total,Total,19601
104,2701704,Capela,1980,População residente censitária,Total,Total,18615
105,2701704,Capela,1991,População residente censitária,Total,Total,18777
106,2701704,Capela,2000,População residente censitária,Total,Total,18693
107,2701704,Capela,2010,População residente censitária,Total,Total,17077
108,2701704,Capela,2022,População residente censitária,Total,Total,15032
109,2701803,Carneiros,1970,População residente censitária,Total,Total,5012
110,2701803,Carneiros,1980,População residente censitária,Total,Total,5447
111,2701803,Carneiros,1991,População residente censitária,Total,Total,5687
112,2701803,Carneiros,2000,População residente censitária,Total,Total,6585
113,2701803,Carneiros,2010,População residente censitária,Total,Total,8290
114,2701803,Carneiros,2022,População residente censitária,Total,Total,8999
115,2701902,Chã Preta,1970,População residente censitária,Total,Total,10587
116,2701902,Chã Preta,1980,População residente censitária,Total,Total,9866
117,2701902,Chã Preta,1991,População residente censitária,Total,Total,8196
118,2701902,Chã Preta,2000,População residente censitária,Total,Total,7760
119,2701902,Chã Preta,2010,População residente censitária,Total,Total,7146
120,2701902,Chã Preta,2022,População residente censitária,Total,Total,5910
121,2702009,Coité do Nóia,1970,População residente censitária,Total,Total,7047
122,2702009,Coité do Nóia,1980,População residente censitária,Total,Total,8963
123,2702009,Coité do Nóia,1991,População residente censitária,Total,Total,9799
124,2702009,Coité do Nóia,2000,População residente censitária,Total,Total,11993
125,2702009,Coité do Nóia,2010,População residente censitária,Total,Total,10926
126,2702009,Coité do Nóia,2022,População residente censitária,Total,Total,10810
127,2702108,Colônia Leopoldina,1970,População residente censitária,Total,Total,12701
128,2702108,Colônia Leopoldina,1980,População residente censitária,Total,Total,14913
129,2702108,Colônia Leopoldina,1991,População residente censitária,Total,Total,16739
130,2702108,Colônia Leopoldina,2000,População residente censitária,Total,Total,17493
